Designator,Mid X,Mid Y,Rotation,Layer
BZ1,43.825,-99.695,180.0,top
C1,93.345,-95.25,0.0,top
C10,100.33,-106.045,0.0,top
C11,57.15,-166.37,180.0,top
C12,100.33,-111.125,0.0,top
C13,57.15,-160.655,180.0,top
C2,67.31,-111.76,90.0,top
C3,67.945,-78.105,270.0,top
C4,86.36,-158.75,0.0,top
C5,85.09,-180.34,0.0,top
C6,30.48,-80.01,180.0,top
C7,30.48,-63.5,180.0,top
C8,30.48,-136.101667,180.0,top
C9,30.48,-147.955,180.0,top
D1,33.8,-125.4,0.0,top
D10,127.6,-132.0,0.0,top
D11,122.4,-144.4,0.0,top
D12,62.865,-105.41,180.0,top
D13,92.71,-165.1,180.0,top
D2,43.3,-115.9,0.0,top
D3,56.75,-115.879639,0.0,top
D4,66.04,-125.4,0.0,top
D5,97.6,-144.4219,0.0,top
D6,92.71,-132.08,0.0,top
D7,97.79,-119.7,0.0,top
D8,110.0,-114.6,0.0,top
D9,122.4,-119.7,0.0,top
DS1,111.65,-72.0,0.0,top
J1,49.845,-29.994999,0.0,top
J2,48.26,-153.67,0.0,top
J3,89.535,-28.9442,180.0,top
J4,104.14,-152.4,0.0,top
J5,69.85,-29.994999,0.0,top
J6,93.345,-177.8,0.0,top
Q1,54.61,-96.83,180.0,top
Q3,62.865,-111.76,270.0,top
R1,30.48,-130.175,180.0,top
R10,120.33,-131.76,180.0,top
R11,114.615,-144.46,180.0,top
R12,88.265,-95.25,0.0,top
R13,66.04,-139.7,0.0,top
R14,86.36,-165.1,0.0,top
R15,86.36,-142.24,180.0,top
R16,86.36,-147.955,180.0,top
R17,54.61,-103.18,0.0,top
R18,36.195,-63.5,0.0,top
R19,36.195,-80.01,0.0,top
R2,36.83,-116.205,180.0,top
R20,36.195,-74.93,0.0,top
R21,36.195,-69.215,0.0,top
R22,36.83,-136.101667,0.0,top
R23,36.83,-147.955,0.0,top
R24,36.83,-130.175,0.0,top
R25,36.83,-142.028333,0.0,top
R26,94.615,-106.045,180.0,top
R27,94.615,-111.125,180.0,top
R28,88.9,-106.045,0.0,top
R29,88.9,-111.125,0.0,top
R3,50.165,-115.885,180.0,top
R30,66.04,-119.38,0.0,top
R4,56.515,-121.92,180.0,top
R5,92.075,-142.24,180.0,top
R6,85.405,-131.76,180.0,top
R7,90.17,-119.38,180.0,top
R8,103.505,-117.475,180.0,top
R9,115.0575,-119.695,180.0,top
SW1,46.875,-72.0,0.0,top
SW10,110.0,-191.999999,0.0,top
SW11,64.135,-148.59,90.0,top
SW2,46.875,-132.0,0.0,top
SW3,106.875,-132.0,0.0,top
SW4,50.0,-191.99,0.0,top
SW5,40.0,-34.999999,0.0,top
SW6,60.0,-34.999999,0.0,top
SW7,80.0,-34.999999,0.0,top
SW8,100.0,-34.999999,0.0,top
SW9,120.0,-34.999999,0.0,top
U1,77.47,-74.93,270.0,top
U2,77.265,-116.205,90.0,top
U3,76.835,-158.75,0.0,top
U4,77.47,-95.25,0.0,top
U5,76.835,-183.515,0.0,top
Y2,65.405,-163.73,270.0,top
